SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
7259,NAGAUR,DEEDW ANA,SUPKA,General (Woman),SHEHNAJ KHANAM,OBC
7260,NAGAUR,DEEDW ANA,THANU,SC (Woman),SANJU,SC (Woman)
7261,NAGAUR,DEEDW ANA,RAMSABAAS,SC (Woman),KANCHAN INDALIYA,SC (Woman)
7262,NAGAUR,DEEDW ANA,GODRAAS,SC (Woman),BASANTI,SC (Woman)
7263,NAGAUR,DEGANA,AANTROLI KALAN,General,MADAN SINGH,General
7264,NAGAUR,DEGANA,BACHW ARI,General,JAGDISH SINGH KHOKHAR,OBC
7265,NAGAUR,DEGANA,BANWARLA,SC (Woman),KIRAN,SC (Woman)
7266,NAGAUR,DEGANA,BARNA,General (Woman),JYANA DEVI,OBC (Woman)
7267,NAGAUR,DEGANA,BIRKHANRIYAKALAN,General,RAMNIW AS,OBC
7268,NAGAUR,DEGANA,BUTATI,General (Woman),MAYA,SC (Woman)
7269,NAGAUR,DEGANA,CHANDAROON,OBC,BHANWARI DEVI,OBC (Woman)
7270,NAGAUR,DEGANA,CHOLIYAS,General (Woman),RAMESHW ARI,OBC (Woman)
7271,NAGAUR,DEGANA,CHOSLI,SC,SURENDRA MEGHAWAL,SC
7272,NAGAUR,DEGANA,CHUI,General,GAJENDRA BAINDA,OBC
7273,NAGAUR,DEGANA,DAVOLI MEETHI,General,JETHA RAM,OBC
7274,NAGAUR,DEGANA,DEGANA GAON,General,LAXMAN SINGH,OBC
7275,NAGAUR,DEGANA,GONERDA,General,RANJEET SINGH,General
7276,NAGAUR,DEGANA,GUNSALI,General (Woman),NAWAL KANWAR,General (Woman)
7277,NAGAUR,DEGANA,HARSOR,SC,PUKHRAJ,SC
7278,NAGAUR,DEGANA,INDW A,OBC (Woman),KIRAN PRAJAPATI,OBC (Woman)
7279,NAGAUR,DEGANA,JAKHEDA,OBC,JAGDISH PRASAD,OBC
7280,NAGAUR,DEGANA,JALSUKHURD,OBC,BALDEV RAM,OBC
7281,NAGAUR,DEGANA,JALSUNANAK,OBC (Woman),MANJU,OBC (Woman)
7282,NAGAUR,DEGANA,KHERVA,General (Woman),KAMLA DEVI,OBC (Woman)
7283,NAGAUR,DEGANA,KHUNDIKALAN,General (Woman),SUNIT A,OBC (Woman)
7284,NAGAUR,DEGANA,KIT ALSAR,General (Woman),SITA DEVI,OBC (Woman)
7285,NAGAUR,DEGANA,MANDLAJODHA,General,NANDU SINGH,General
7286,NAGAUR,DEGANA,MANJHI,SC,RAJENDRA,SC
7287,NAGAUR,DEGANA,MEVADA,OBC,RAJURAM,OBC
7288,NAGAUR,DEGANA,MOGAS,General (Woman),SURENDRA KANWAR,General (Woman)
7289,NAGAUR,DEGANA,NATHAVADA,General (Woman),SANGIT A,OBC (Woman)
7290,NAGAUR,DEGANA,NIMBDIKALAN,General,MANISH CHOUDHARY,OBC (Woman)
7291,NAGAUR,DEGANA,NIMBOLAKALAN,General (Woman),SARLA,OBC (Woman)
7292,NAGAUR,DEGANA,NUMBADI CHANDAWATA,General,SHIVP AL,OBC
7293,NAGAUR,DEGANA,P ALDIKALAN,General,RAMESHWAR LAL,OBC
7294,NAGAUR,DEGANA,PALIAWAS,SC,VIJAY KUMAR,SC
7295,NAGAUR,DEGANA,PUNAS,General (Woman),VIMAL KANWAR,General (Woman)
7296,NAGAUR,DEGANA,PUNDLOT A,OBC,VISHAL KILAK,OBC
7297,NAGAUR,DEGANA,RAJLOT A,SC (Woman),SANJU DEVI,SC (Woman)
7298,NAGAUR,DEGANA,RAJOD,SC (Woman),SABU DEVI,SC (Woman)
7299,NAGAUR,DEGANA,SAANJU,OBC (Woman),SARITA,OBC (Woman)
7300,NAGAUR,DEGANA,SIRASNA,SC (Woman),JASU DEVI,SC (Woman)
7301,NAGAUR,DEGANA,THATA,General (Woman),RITU KANWAR,General (Woman)
7302,NAGAUR,DEGANA,TILONES,SC,MUKESH,SC
7303,NAGAUR,DEGANA,GUNDISAR,OBC (Woman),MENA CHOUDHARY,OBC (Woman)
7304,NAGAUR,JAYAL,AAKODA,General (Woman),KAMLA KANWAR,General (Woman)
7305,NAGAUR,JAYAL,AAVALIYASAR,SC,RAKESH NAYAK,SC
7306,NAGAUR,JAYAL,BARNEL,General,ILLIYAS ALI,General
7307,NAGAUR,JAYAL,BHAWALA,SC,SUKHRAM,SC
7308,NAGAUR,JAYAL,BUGDARDA,OBC (Woman),SUMITTRA,OBC (Woman)
7309,NAGAUR,JAYAL,CHHANJOLI,SC (Woman),SONI,SC (Woman)
7310,NAGAUR,JAYAL,CHHAP ADA,SC (Woman),ICHHA DEVI,SC (Woman)
7311,NAGAUR,JAYAL,DEH,General (Woman),SUMAN,General (Woman)
7312,NAGAUR,JAYAL,DEHARI,General (Woman),SARITA,OBC (Woman)
7313,NAGAUR,JAYAL,DHARNA,General (Woman),GANGA,OBC (Woman)
7314,NAGAUR,JAYAL,DOTINA,General,RAMESHW AR,OBC
7315,NAGAUR,JAYAL,DUGOLI,General,BHAWANA,General (Woman)
7316,NAGAUR,JAYAL,DUNGAST AU,SC,MADANLAL,SC
7317,NAGAUR,JAYAL,GORAU,General (Woman),SUNIT A,OBC (Woman)
7318,NAGAUR,JAYAL,GUGRILIYALI,OBC (Woman),GEETA BEDA,OBC (Woman)
7319,NAGAUR,JAYAL,JALNIYASER,General (Woman),SANTOSH,General (Woman)
7320,NAGAUR,JAYAL,JAYAL,SC (Woman),SUNIT A,SC (Woman)
7321,NAGAUR,JAYAL,JHADELI,OBC,PREMLATA,OBC (Woman)
7322,NAGAUR,JAYAL,JOCHINA,General,PURNA RAM,OBC
7323,NAGAUR,JAYAL,KAMEDIYA,General (Woman),SHARDA DEVI,OBC (Woman)
7324,NAGAUR,JAYAL,KATHOTI,OBC,TEJA RAM,OBC
7325,NAGAUR,JAYAL,KHA TUKALAN,General (Woman),SUMITRA,OBC (Woman)
7326,NAGAUR,JAYAL,KHEROT,General,DINESH,OBC
7327,NAGAUR,JAYAL,KYHIYALA,General (Woman),P ARMADEVI,OBC (Woman)
7328,NAGAUR,JAYAL,MANGLOD,SC (Woman),BAYELI,SC (Woman)
7329,NAGAUR,JAYAL,P AHARDAOD,General,HANUMANRAM,OBC
7330,NAGAUR,JAYAL,PINDIYA,OBC,BASTI RAM,OBC
7331,NAGAUR,JAYAL,RAJOD,General (Woman),SANTOSH,General (Woman)
7332,NAGAUR,JAYAL,RATANGA,OBC,RAJKUMAR,OBC
7333,NAGAUR,JAYAL,ROHINA,General,MADAN KANWAR,General (Woman)
7334,NAGAUR,JAYAL,RONTU,SC,CHUKA DEVI,SC (Woman)
7335,NAGAUR,JAYAL,SANDILAY,OBC,PRAKASH SIWAR,OBC
7336,NAGAUR,JAYAL,SOMNA,General,ARJUN SINGH,OBC
7337,NAGAUR,JAYAL,SONELI,SC,JEEVANRAM,SC
7338,NAGAUR,JAYAL,SURPALIYA,OBC (Woman),SAROJ,OBC (Woman)
7339,NAGAUR,JAYAL,TANGALA,General,NARENDER SINGH,General
7340,NAGAUR,JAYAL,TANVARA,SC (Woman),KAILASHI,SC (Woman)
7341,NAGAUR,JAYAL,TARNAU,OBC (Woman),SAROJ,OBC (Woman)
7342,NAGAUR,KUCHAMAN,ADAKSAR,General,HARDAYAL SINGH,OBC
7343,NAGAUR,KUCHAMAN,ANANDPURA,General,REKHA DEVI,OBC (Woman)
7344,NAGAUR,KUCHAMAN,BHANVT A,General (Woman),MANJU KANWAR,General (Woman)
7345,NAGAUR,KUCHAMAN,CHARNAWAS,General (Woman),HEERA DEVI,OBC (Woman)
7346,NAGAUR,KUCHAMAN,CHAVANDIYA,OBC (Woman),GEETA DEVI,OBC (Woman)
7347,NAGAUR,KUCHAMAN,CHINTAWA,General (Woman),BABITA JAIN,General (Woman)
7348,NAGAUR,KUCHAMAN,DEEPURA,SC (Woman),VIMLA DEVI,SC (Woman)
7349,NAGAUR,KUCHAMAN,GHATWA,General (Woman),DURGESH KANWAR,General (Woman)
7350,NAGAUR,KUCHAMAN,HIRANI,General (Woman),KANCHAN KUMAWAT,OBC (Woman)
7351,NAGAUR,KUCHAMAN,HUNDIL,OBC,KANARAM,OBC
7352,NAGAUR,KUCHAMAN,INDALI,General,RAMESHWAR LAL,OBC
7353,NAGAUR,KUCHAMAN,JEEJOT,General,NUNDA RAM,OBC
7354,NAGAUR,KUCHAMAN,JEENLIYA,General,KESHA RAM,OBC
7355,NAGAUR,KUCHAMAN,KHIRIYA,SC (Woman),CHAMPA,SC (Woman)
7356,NAGAUR,KUCHAMAN,KHORINDI,SC (Woman),NARANI DEVI,SC (Woman)
7357,NAGAUR,KUCHAMAN,KUKANW ALI,SC (Woman),SAROJ,SC (Woman)
7358,NAGAUR,KUCHAMAN,LALASA,General (Woman),VIMLA DEVI,OBC (Woman)
7359,NAGAUR,KUCHAMAN,MANDAWARA,OBC,BHANWAR LAL REBARI,OBC
7360,NAGAUR,KUCHAMAN,NALOT,General,RAMESHWAR LAL,OBC
7361,NAGAUR,KUCHAMAN,NANGW ADA,General,KUMBHARAM,OBC
7362,NAGAUR,KUCHAMAN,NARAYANPURA,General (Woman),LALI DEVI,OBC (Woman)
7363,NAGAUR,KUCHAMAN,PANCHAWA,OBC,NARAYAN RAM,OBC
7364,NAGAUR,KUCHAMAN,PAREVADI,OBC (Woman),PRAMILA,OBC (Woman)
7365,NAGAUR,KUCHAMAN,PLADA,General,JITENDRA SINGH,General
7366,NAGAUR,KUCHAMAN,PREMPURA,OBC (Woman),ANJU,OBC (Woman)
7367,NAGAUR,KUCHAMAN,RASAL,General (Woman),PAWAN KANWAR,General (Woman)
7368,NAGAUR,KUCHAMAN,RUPPURA,SC,OMPRAKASH,SC
7369,NAGAUR,KUCHAMAN,SARGOTH PADAMPURA,General (Woman),CHUKA DEVI,OBC (Woman)
7370,NAGAUR,KUCHAMAN,SHIV,General,LALA RAM,OBC
7371,NAGAUR,KUCHAMAN,TODAS,SC,KANA RAM,SC
7372,NAGAUR,KUCHAMAN,UGARPURA,SC,SARWAN KUMAR,SC
7373,NAGAUR,LADNU,AASOTA,OBC,HARDYAL,OBC
7374,NAGAUR,LADNU,BAKALIYA,OBC,CHOGARAM,OBC
7375,NAGAUR,LADNU,BALDU,General,MADAN LAL,OBC
7376,NAGAUR,LADNU,BALSAMAND,General (Woman),ANJU,OBC (Woman)
7377,NAGAUR,LADNU,CHANDARAI,OBC,RAMDEV,OBC
7378,NAGAUR,LADNU,CHHAP ARA,General,ANANDI LAL,General
7379,NAGAUR,LADNU,DHENGSARI,General,RAJU DEVI,OBC
7380,NAGAUR,LADNU,DHYAWA,General (Woman),MANJU KANWAR,General
7381,NAGAUR,LADNU,DUJAR,General (Woman),ANITA KANWAR,General (Woman)
7382,NAGAUR,LADNU,GENADA,General,RAMDEV JAT,OBC
7383,NAGAUR,LADNU,GHIRODA MEETHA,General (Woman),SUMAN RATHORE,General (Woman)
7384,NAGAUR,LADNU,HUDAS,OBC (Woman),RASIDA BANO,OBC (Woman)
7385,NAGAUR,LADNU,INDRAPURA,General,MAHVEER PRASAD,General
7386,NAGAUR,LADNU,JASW ANTGARH,SC (Woman),SAVITRI KUMARI CHAYAL,SC (Woman)
7387,NAGAUR,LADNU,KASUMBI ALIPUR,OBC (Woman),JASODA,OBC
7388,NAGAUR,LADNU,KHAMIYAD,General (Woman),SAVITRI,General
7389,NAGAUR,LADNU,LACHHADI,General,BAJRANG SINGH,General
7390,NAGAUR,LADNU,LEADI,General,RAJENDRA SINGH,General
7391,NAGAUR,LADNU,MANGALPURA,OBC (Woman),PUSHPA DEVI,OBC (Woman)
7392,NAGAUR,LADNU,MEETHDI,SC (Woman),NIRMALA MEGHWAL,SC
7393,NAGAUR,LADNU,NIMBI JODHA,SC,SHYAMSUNDER,SC
7394,NAGAUR,LADNU,ODDENT,SC (Woman),KAMLA DEVI,SC
7395,NAGAUR,LADNU,RATAU,General (Woman),KOMAL URF KAILASH,OBC
7396,NAGAUR,LADNU,REENGAN,SC,NA THURAM,SC
7397,NAGAUR,LADNU,RODU,General,PADAM SINGH,General
7398,NAGAUR,LADNU,SANVARDA,OBC,SUKHDEV,OBC
7399,NAGAUR,LADNU,SARDI,General,HARJIRAM,General
7400,NAGAUR,LADNU,SENW A,General (Woman),LICHHMA,OBC (Woman)
7401,NAGAUR,LADNU,SILANWAD,SC,SHYAMLAL,SC
7402,NAGAUR,LADNU,SUNARI,SC (Woman),KAILA MEGHWAL,SC (Woman)
7403,NAGAUR,LADNU,T ANW ARA,General (Woman),POONAM KANWAR,General
7404,NAGAUR,LADNU,UDRASAR,General (Woman),SUNITA KANWAR,General (Woman)
7405,NAGAUR,MAKRANA,AASRIWA,SC,PURANMAL,SC
7406,NAGAUR,MAKRANA,ALTAWA,General (Woman),VIMLA KHILERI,OBC (Woman)
7407,NAGAUR,MAKRANA,BAJOLI,General,BHANWAR LAL,OBC
7408,NAGAUR,MAKRANA,BARW ALI,OBC (Woman),NITU SAIN,OBC (Woman)
7409,NAGAUR,MAKRANA,BESROLI,OBC,DEVARAM,OBC
7410,NAGAUR,MAKRANA,BHAIYAKALAN,General,GOPAL SINGH,General
7411,NAGAUR,MAKRANA,BHARNAI,General (Woman),PRAM DEVI,OBC (Woman)
7412,NAGAUR,MAKRANA,BHEECHAWA,General,MANOHAR SINGH,General
7413,NAGAUR,MAKRANA,BILLU,SC (Woman),GEET A,SC (Woman)
7414,NAGAUR,MAKRANA,BORAWAD,General (Woman),SUNITA RAJPUROHIT,General (Woman)
7415,NAGAUR,MAKRANA,BUDSU,OBC (Woman),NURI DEVI,OBC (Woman)
7416,NAGAUR,MAKRANA,CHANDI,General,SUMAN,OBC (Woman)
7417,NAGAUR,MAKRANA,DABDIKALA,General (Woman),PARMA,OBC (Woman)
7418,NAGAUR,MAKRANA,DHANA GRAWA,OBC,SUKHDEV RAM,OBC
7419,NAGAUR,MAKRANA,GEDHAKALA,General,MAHENDRA DAN,OBC
7420,NAGAUR,MAKRANA,GELASAR,General (Woman),RAJNI KANWAR,General (Woman)
7421,NAGAUR,MAKRANA,HUDIYA,SC,BUDHARAM,SC
7422,NAGAUR,MAKRANA,INDOKHA,General (Woman),OM KANWAR,General (Woman)
7423,NAGAUR,MAKRANA,ITAWA BAMANIYA (GACHHIPURA),OBC (Woman),PUSPA DEVI,OBC (Woman)
7424,NAGAUR,MAKRANA,ITAWA LAKHA,General (Woman),NORATI DEVI,OBC (Woman)
7425,NAGAUR,MAKRANA,JAKHALI,General,CHATRPAL SINGH,General
7426,NAGAUR,MAKRANA,JASURI,SC (Woman),BAOU DEVI,SC (Woman)
7427,NAGAUR,MAKRANA,JUSRIYA,SC,KHINWA RAM,SC
7428,NAGAUR,MAKRANA,KALVA BADA,OBC (Woman),KAMLA,OBC
7429,NAGAUR,MAKRANA,KHARDIYA,OBC,GIRDHARI RAM,OBC
7430,NAGAUR,MAKRANA,KHEDI SHEELA,General,RAJKUMAR,OBC
7431,NAGAUR,MAKRANA,KUKADOD,General (Woman),PUNAM KANWAR SHEKHAWAT,General (Woman)
7432,NAGAUR,MAKRANA,MANANA,General (Woman),SANJU KUMARI,OBC (Woman)
7433,NAGAUR,MAKRANA,MODI CHARANA,SC,P APPURAM,SC
7434,NAGAUR,MAKRANA,NANDOLI MEDTIYA,OBC,GOPAL RAM,OBC
7435,NAGAUR,MAKRANA,NIMBADI,General,REWAT SINGH,General
7436,NAGAUR,MAKRANA,RAMSIYA,SC,CHAINA RAM,SC
7437,NAGAUR,MAKRANA,RANIGAON,General (Woman),SHARWANI DEVI,OBC (Woman)
7438,NAGAUR,MAKRANA,SABALPUR,General,VINAY SINGH NATHAWAT,General
7439,NAGAUR,MAKRANA,SAPHED BARI,SC (Woman),SHARDA DEVI,SC (Woman)
7440,NAGAUR,MAKRANA,SARNAVADA,SC (Woman),MANGI KANWAR,SC (Woman)
7441,NAGAUR,MERTA,BADGAON,OBC,SUKHA RAM,OBC
7442,NAGAUR,MERTA,BASNI SEJA,SC,LADURAM,SC
7443,NAGAUR,MERTA,BATIYON KI DHANI,OBC,RAMNIW AS,OBC
7444,NAGAUR,MERTA,CHHAPARI KHURD,General,RAMESHW AR,General
7445,NAGAUR,MERTA,DABARIYANI KALAN,SC (Woman),MANJU,SC (Woman)
7446,NAGAUR,MERTA,DAGAWAS,General (Woman),SUNIT A,OBC
7447,NAGAUR,MERTA,DATANI,General (Woman),SAMPAT KANWAR,General (Woman)
7448,NAGAUR,MERTA,DHADHVADA,General (Woman),SUMAN KANWAR,General (Woman)
7449,NAGAUR,MERTA,DHAVA,OBC (Woman),PARMA,OBC (Woman)
7450,NAGAUR,MERTA,GAGRANA,SC,RAKESH KUMAR,SC
7451,NAGAUR,MERTA,GATHIYA,SC,DEENARAM,SC
7452,NAGAUR,MERTA,GOTHAN,General (Woman),KAILASH KANWAR,General
7453,NAGAUR,MERTA,HARSOLAV,General,SURESH GURJAR,General
7454,NAGAUR,MERTA,INDAWAD,General,NANDARAM,General
7455,NAGAUR,MERTA,JARODA KALAN,SC,PRAKASH,SC
7456,NAGAUR,MERTA,KADVASARON KI DHANI,General,KISTU RAM,OBC
7457,NAGAUR,MERTA,KALRU,General (Woman),SUMAN DEVI,OBC
7458,NAGAUR,MERTA,KHAKAHDKI,General,SHYAM LAL,General
7459,NAGAUR,MERTA,KHERULI,OBC,AMRA RAM,OBC
7460,NAGAUR,MERTA,KURDAYA,General,DHARMARAM,OBC
7461,NAGAUR,MERTA,LAMBA JATAN,OBC (Woman),SANTOSH,OBC (Woman)
7462,NAGAUR,MERTA,MERTA ROAD (PHALODI),General,DHARMENDRA,OBC
7463,NAGAUR,MERTA,MOKALPUR,OBC (Woman),PRITI INANIYAN,OBC (Woman)
7464,NAGAUR,MERTA,NETDIYA,General (Woman),SAYAR KANWAR,OBC
7465,NAGAUR,MERTA,NOKHA CHANDAWATA,SC (Woman),GEET A,SC (Woman)
7466,NAGAUR,MERTA,OLADAN,General (Woman),MANJU DEVI,OBC (Woman)
7467,NAGAUR,MERTA,PUNDALU,SC,CHANDARAM,SC
7468,NAGAUR,MERTA,REN,OBC (Woman),RAJ KANWAR,OBC
7469,NAGAUR,MERTA,RIYA SHYAMDAS,General,MOOL SINGH,General
7470,NAGAUR,MERTA,ROL CHANDAWATA,General (Woman),CHHOTU KANWAR,General
7471,NAGAUR,MERTA,SATLWAS,SC (Woman),NAINI DEVI,SC (Woman)
7472,NAGAUR,MERTA,SOGAWAS,General (Woman),SUNITA BHANWARIYA,OBC
7473,NAGAUR,MERTA,T ALNPUR,General (Woman),LALITA,General (Woman)
7474,NAGAUR,MERTA,TUKALIYA,OBC,BHABHUTRAM,OBC
7475,NAGAUR,MERTA,DHANDLAS UDA,General,RAJENDRA KUMAR,OBC
7476,NAGAUR,MERTA,KATYASANI,General (Woman),SAMMU DEVI,OBC (Woman)
7477,NAGAUR,MERTA,MORRA,OBC,SUKHA RAM,OBC
7478,NAGAUR,MERTA,BEET AN,SC (Woman),INDRA,SC (Woman)
7479,NAGAUR,MUNDW A,AADVAD,General (Woman),NITU SINGH,OBC (Woman)
7480,NAGAUR,MUNDW A,BODAVA,General (Woman),SAROJ,OBC (Woman)
7481,NAGAUR,MUNDW A,DIDIYAKALAN,OBC,DHARMA RAM CHANGAL,OBC
7482,NAGAUR,MUNDW A,GELOLI,OBC,MALAK SHER KHAN,OBC
7483,NAGAUR,MUNDW A,LUNASARA,General (Woman),BABY KANWAR,General (Woman)
7484,NAGAUR,MUNDW A,ROL,SC (Woman),SUSHIL A,SC (Woman)
7485,NAGAUR,MUNDW A,ROOPATHAL,General (Woman),AJODHAYA,OBC (Woman)
7486,NAGAUR,MUNDW A,AASAWARI,OBC (Woman),KESHI DEVI,OBC (Woman)
7487,NAGAUR,MUNDW A,BALAYA,OBC,ARJAN RAM,OBC
7488,NAGAUR,MUNDW A,GAJU,SC,NUKLARAM,SC
7489,NAGAUR,MUNDW A,GOTHDA,General (Woman),CHHOTUDI,OBC (Woman)
7490,NAGAUR,MUNDW A,GW ALU,SC,RAMKUNW AR,SC
7491,NAGAUR,MUNDW A,HILODI,OBC (Woman),MAMTA,OBC (Woman)
7492,NAGAUR,MUNDW A,INANA,OBC (Woman),KAMLA,OBC (Woman)
7493,NAGAUR,MUNDW A,JANANA,General,AIDAAN RAM,OBC
7494,NAGAUR,MUNDW A,JHUJHANDA,SC,CHHOGARAM,SC
7495,NAGAUR,MUNDW A,KADLU,General (Woman),RAJU DEVI,OBC (Woman)
7496,NAGAUR,MUNDW A,KHAJW ANA,General (Woman),MEENA CHOUDHARY,OBC (Woman)
7497,NAGAUR,MUNDW A,KHARNAL,SC (Woman),MANISHA,SC (Woman)
7498,NAGAUR,MUNDW A,MANAKPURA,General (Woman),PUSHPA DEVI,OBC (Woman)
7499,NAGAUR,MUNDW A,MUNDIYADA,General (Woman),DINESH,OBC
7500,NAGAUR,MUNDW A,P ALDIJODHA,General,JAGDISH,OBC
7501,NAGAUR,MUNDW A,PHIDOD,General,INDERCHAND FIRODA,OBC
7502,NAGAUR,MUNDW A,RUN,SC,DINESH MEGHWAL,SC
7503,NAGAUR,MUNDW A,SANKHW AS,General,ARJUN RAM,OBC
7504,NAGAUR,MUNDW A,SENI,General,RAMKUNW AR,OBC
7505,NAGAUR,MUNDW A,SHEELGAON,General (Woman),SANTOSH,OBC (Woman)
7506,NAGAUR,MUNDW A,THIROD,SC (Woman),SANTOSH,SC (Woman)
7507,NAGAUR,MUNDW A,BHAKROD,General,ASHA RAM,OBC
7508,NAGAUR,NAGAUR,ALAI,General (Woman),SUMAN,General (Woman)
7509,NAGAUR,NAGAUR,AMARPURA,SC (Woman),HARKU DEVI,SC (Woman)
7510,NAGAUR,NAGAUR,BALWA,General (Woman),PREM KANWAR,General (Woman)
7511,NAGAUR,NAGAUR,BARANGAON,General,MAHIP AL,OBC
7512,NAGAUR,NAGAUR,BARANI,OBC,ASHARAM,OBC
7513,NAGAUR,NAGAUR,BASNI,General,MOHD.SARDAR,OBC
7514,NAGAUR,NAGAUR,BHADANA,General,RADHEYSHYAM,OBC
7515,NAGAUR,NAGAUR,CHAU,SC (Woman),SUMAN,SC (Woman)
7516,NAGAUR,NAGAUR,CHENAR,General,KHINV SINGH,OBC
7517,NAGAUR,NAGAUR,CHHILA,General (Woman),MAMTA,OBC (Woman)
7518,NAGAUR,NAGAUR,CHUNTISARA,General (Woman),NARAYANI DEVI,OBC (Woman)
7519,NAGAUR,NAGAUR,DUKOSI,General,SAHABUDIN,OBC
7520,NAGAUR,NAGAUR,GANGW ANA,General,CHANDRA PRAKASH,OBC
7521,NAGAUR,NAGAUR,GANTHILASAR,General (Woman),NANDU KANWAR,General (Woman)
7522,NAGAUR,NAGAUR,GOGELAV,General (Woman),RUP A,OBC (Woman)
7523,NAGAUR,NAGAUR,JHANDISRA,General,BIDAMI,OBC (Woman)
7524,NAGAUR,NAGAUR,JODHIYASI,General,KARN SINGH,General
7525,NAGAUR,NAGAUR,KALADI,OBC (Woman),SUMA,OBC (Woman)
7526,NAGAUR,NAGAUR,KHARI KARMSOTA,SC,RUP ARAM,SC
7527,NAGAUR,NAGAUR,KUMARI,General (Woman),HEENA KOSAR,OBC (Woman)
7528,NAGAUR,NAGAUR,MAKODI,OBC (Woman),SANTOSH,OBC (Woman)
7529,NAGAUR,NAGAUR,RAIDHUN,General (Woman),PATASI,OBC (Woman)
7530,NAGAUR,NAGAUR,ROHINI,General (Woman),SHIVANGI,OBC
7531,NAGAUR,NAGAUR,SARSANI,General (Woman),SARLA,OBC (Woman)
7532,NAGAUR,NAGAUR,SA THERAN,SC (Woman),VIMLA,SC (Woman)
7533,NAGAUR,NAGAUR,SEVDI,General (Woman),KANCHAN,General (Woman)
7534,NAGAUR,NAGAUR,SHRIBALAJI,General,SUKHDEV,OBC
7535,NAGAUR,NAGAUR,SHYAMSAR,OBC (Woman),JHANKARI,OBC (Woman)
7536,NAGAUR,NAGAUR,SINGAD,General (Woman),ANIT A,OBC (Woman)
7537,NAGAUR,NAGAUR,SINOD,OBC,RAJARAM,OBC
7538,NAGAUR,NAGAUR,TAUSAR,OBC,MISHRI LAL,OBC
7539,NAGAUR,NAGAUR,UNTAWALIYA,OBC,DEVILAL,OBC
7540,NAGAUR,NAGAUR,BHAWAD,SC,BHURARAM,SC
7541,NAGAUR,NAGAUR,DHUNDWALO KI DHANI,SC,DHANNARAM,SC
7542,NAGAUR,NAGAUR,HANUMAN NAGAR,SC,ISHW AR,SC
7543,NAGAUR,PARBATSAR,BADU,OBC (Woman),REENA,OBC (Woman)
7544,NAGAUR,PARBATSAR,BAGOT,General,RAMAVATAR SHARMA,General
7545,NAGAUR,PARBATSAR,BAJW AS,General,DALPAT SINGH,General
7546,NAGAUR,PARBATSAR,BAREV,General,MANISHA BAJIYA,OBC (Woman)
7547,NAGAUR,PARBATSAR,BASSI,OBC,NASIR MOHMMAD,OBC
7548,NAGAUR,PARBATSAR,BETHW ALIA,SC,OMPRAKASH,SC
7549,NAGAUR,PARBATSAR,BHADSIYA,OBC,DIL SHUKH RAM,OBC
7550,NAGAUR,PARBATSAR,BHADVA,General,RIDHARAM,OBC
7551,NAGAUR,PARBATSAR,BHAKRI MOLAS,General (Woman),UJJVAL KANWAR,General (Woman)
7552,NAGAUR,PARBATSAR,BIDIYAD,General,MOHAN RAM,OBC
7553,NAGAUR,PARBATSAR,CHIT AI,General (Woman),PUSHPA KANWAR,General (Woman)
7554,NAGAUR,PARBATSAR,DHADHOT A,OBC,KAILASH CHAND,OBC
7555,NAGAUR,PARBATSAR,GANGW AN,General (Woman),MITHILESH SINGH,General (Woman)
7556,NAGAUR,PARBATSAR,GULAR,OBC (Woman),SUNITA BENIWAL,OBC (Woman)
7557,NAGAUR,PARBATSAR,HARNAWA PATTI,SC (Woman),SARJU DEVI,SC (Woman)
7558,NAGAUR,PARBATSAR,JANJILA,SC (Woman),CHHOTI DEVI,SC (Woman)
7559,NAGAUR,PARBATSAR,JAVLA,General (Woman),MOHANI DEVI,OBC (Woman)
7560,NAGAUR,PARBATSAR,JHALARA,General (Woman),SUNIT A,General (Woman)
7561,NAGAUR,PARBATSAR,KALETDA,General (Woman),RAJESHW ARI,General (Woman)
7562,NAGAUR,PARBATSAR,KHOKHAR,General (Woman),NARESH KANWAR,General (Woman)
7563,NAGAUR,PARBATSAR,KINSRIYA,General,BHANWAR LAL GODARA,OBC
7564,NAGAUR,PARBATSAR,KUNDRI,General,CHHITAR SINGH RATHORE,General
7565,NAGAUR,PARBATSAR,KURADA,SC,JAGDISH PRASAAD,SC
7566,NAGAUR,PARBATSAR,MANGLANA,General,KULDEEP SINGH,General
7567,NAGAUR,PARBATSAR,MAYAPUR,General,ABHISHEK SINGH,General
7568,NAGAUR,PARBATSAR,NENIYA,General (Woman),ARCHNA,General (Woman)
7569,NAGAUR,PARBATSAR,NETIYAS,General (Woman),NOSAR DEVI,OBC (Woman)
7570,NAGAUR,PARBATSAR,PEEH,OBC,OMPRAKASH,OBC
7571,NAGAUR,PARBATSAR,PILAWA,General (Woman),ANITA DEVI,General (Woman)
7572,NAGAUR,PARBATSAR,PIPALAD,SC,RAJESH,SC
7573,NAGAUR,PARBATSAR,RABADIYAD,OBC (Woman),MANURAJ,OBC (Woman)
7574,NAGAUR,PARBATSAR,RID,General,RAMNIW AS,OBC
7575,NAGAUR,PARBATSAR,ROHINDI,General (Woman),REKHA,OBC (Woman)
7576,NAGAUR,PARBATSAR,RUNIJA,SC (Woman),BHAGWATI,SC (Woman)
