year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,85,Narendra Chunnilal Hirani,INC,Indian National Congress,5282,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,Milind Shantaram Korgaonkar,MNS,Maharashtra Navnirman Sena,1412,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,KUNALSINGH MAHENDRASINGH DADIYALA,IND,Independent,62,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,rakesh vishwanth arora,IND,Independent,49,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,Mukesh Amritlal Gathani,IND,Independent,36,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,85,NOTA,,,574,,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,SUSHMA KAMLESH RAI,INC,Indian National Congress,6213,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,HARPREETKAUR SARABJEETSINGH SANDHU,BJP,Bhartiya Janata Party,5228,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,_______ _______ ____,SS,Shivsena,4798,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,GLADYS NICHOLAS ALMEIDA,IND,Independent,4070,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,SHRUTI RATNESH KHADPE,MNS,Maharashtra Navnirman Sena,743,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,Maya Arvind Damrekar,IND,Independent,346,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,Pragati Prakash Kadam,Communist Party Of India (Marxist),Communist Party Of India (Marxist),346,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,Mini Sudhakar Menon,IND,Independent,198,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,Julie Kailash Shinde,IND,Independent,195,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,MAJU MASTAN BAIG,NCP,Nationalist Congress Party,172,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,LAVIA MABBLE PINTO,IND,Independent,104,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,86,NOTA,,,352,,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,VISHWANATH PANDURANG MAHADESHWAR,SS,Shivsena,7250,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,Krushna(Mahesh) Parkar,BJP,Bhartiya Janata Party,7216,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,DHARMESH KRISHNAKANT VYAS,INC,Indian National Congress,4950,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,Sandesh Vasant Gaikwad,MNS,Maharashtra Navnirman Sena,796,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,PRADEEPKUMAR JOKHAN SINGH,SP,Samajwadi Party,672,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,SHARAFATHUSSAIN HABIBULLAH CHOUDHARY,AIMIM,All India Majlis e Ittehadul Muslimeen,623,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,WASEEM ABDULHAKIM SHAIKH,IND,Independent,428,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,SUSHANT GUNARATNA PAWAR,BSP,Bahujan Samaj Party,418,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,Anwar Bhura Qureshi,NCP,Nationalist Congress Party,319,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,VIRENDRA PANDURANG AKEVAR,IND,Independent,165,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,SUDHIR RAVIRAI CHOUDHARY,INC,Indian National Congress,109,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,Harishchandra Gopal Gamare,IND,Independent,105,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,JOHN FRANCIS VAZ,IND,Independent,100,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,SANDEEP CHANDRAKANT UDHARKAR,Aghadi/Front,Aghadi/Front,94,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,Subhash Sabhapati Mishra,IND,Independent,92,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,SANDESH SAYAJI MOHITE,Ambedkarite Party Of India,Ambedkarite Party Of India,46,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,VILAS KRISHNA PATKAR,IND,Independent,46,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,MAHENDRA KRISHNARAO PAWAR,IND,Independent,17,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,87,NOTA,,,373,,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,SADANAND GAJANAN PARAB,SS,Shivsena,8424,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,PRASAD RAMCHANDRA SAMANT,BJP,Bhartiya Janata Party,5534,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,SUHAS NARAYAN SHINDE,MNS,Maharashtra Navnirman Sena,3750,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,Lalmani Sinnu Rajbhar,INC,Indian National Congress,2012,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,SUBHASH MAHADEO SAWANT,IND,Independent,556,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,Nilotpal Anjani Mrinal,IND,Independent,434,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,HARAKHCHAND LILADHAR GUDHKA,NCP,Nationalist Congress Party,326,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,BALAJI ANKUSH PADWAL,IND,Independent,315,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,VIJAY SHIVRAM PANDIRKAR,IND,Independent,113,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,TANAJI SAMBHAJI GURAV,IND,Independent,78,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,ADITYA DHARMENDRA PANDEY,IND,Independent,70,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,ANJANI SUBHASH TIWARI,IND,Independent,63,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,88,NOTA,,,315,,data/maharashtra/mumbai/mumbai_2017.csv
2017,89,DINESH KASHIRAM KUBAL,SS,Shivsena,8682,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,89,LAXMAN CHIKKAYYA POOJARI,IND,Independent,8031,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,89,santosh mohan upralkar,MNS,Maharashtra Navnirman Sena,3654,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,89,Suryavansh Balrup Thakur,INC,Indian National Congress,3645,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,89,DILIP SAKHARAM PATIL,BJP,Bhartiya Janata Party,3473,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,89,NOTA,,,368,,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,TULIP BRIAN MIRANDA,INC,Indian National Congress,5952,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,BENEDICT DENIS KINNY,SP,Samajwadi Party,4373,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,SHAILA KRISHNA THORAT,BJP,Bhartiya Janata Party,3818,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,Pratima Kalpesh Ajarekar,SS,Shivsena,2784,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,maya jannappa kunchikorve,MNS,Maharashtra Navnirman Sena,2496,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,sujata gopal mali,IND,Independent,140,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,SEJAL RUSHIKESH GAWANDE,IND,Independent,43,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,90,NOTA,,,430,,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,SAGUN VASANT NAIK,SS,Shivsena,7634,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,MOHAMMEDRAFIQUE MUSTAFAHUSAIN SHAIKH,INC,Indian National Congress,5000,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,yadunath damodar morajkar,MNS,Maharashtra Navnirman Sena,4770,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,DINESH BOMMAYYA AMIN,NCP,Nationalist Congress Party,2953,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,DINESH JAIRAM HALDANKAR,Communist Party Of India,Communist Party Of India,410,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,SAGAR RAJENDRA CHIPKAR,IND,Independent,148,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,sudhir gangaram sagvekar,IND,Independent,134,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,91,NOTA,,,1135,,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,GULNAZ MDSALIM QURESHI,AIMIM,All India Majlis e Ittehadul Muslimeen,4882,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,Tasleem Yusuf Memon,INC,Indian National Congress,3538,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,SHEETAL ANIL MANGWANA,BJP,Bhartiya Janata Party,2532,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,Majidunnisa Jagir Khan,MNS,Maharashtra Navnirman Sena,2236,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,RUPALI RAMESH SHINDE,SS,Shivsena,1455,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,NIGAR ARIF SHAIKH,IND,Independent,1221,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,Neha Suhas Patil,NCP,Nationalist Congress Party,978,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,KIRTI DHARMA GAIKAWAD,BSP,Bahujan Samaj Party,430,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,shabina arshad khan,SP,Samajwadi Party,146,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,TAHIRA KHANMOHAMMED BASTIWALA,IND,Independent,143,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,MUNNI RAMSINH BIDLAN,IND,Independent,138,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,AMEENA ABDULSAEED SHAIKH,Peasants & Workers Party of India,Peasants & Workers Party of India,112,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,MEHRUNNISA MOHAMMEDHANIF SHAIKH,Bahujan Vikas Aghadi,Bahujan Vikas Aghadi,76,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,SAIRABANU IRFAN SHAIKH,IND,Independent,54,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,hasina lalmohammed shaikh,IND,Independent,47,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,RAJIYABEE MEHBOOB SHAIKH,OBC NT Party of India,OBC NT Party of India,23,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,92,NOTA,,,119,,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,ROHINI YOGESH KAMBLE,SS,Shivsena,9986,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,PRIYATAMA SHARADKUMAR DRSAWANT,INC,Indian National Congress,2748,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,Rani Sumit Wajale,Republican Party of India (A),Republican Party of India (A),2748,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,nanda sandesh aykar,MNS,Maharashtra Navnirman Sena,2022,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,KAMINI DINKAR JADHAV,NCP,Nationalist Congress Party,1810,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,PRADNYA SHAILESH BANSODE,BSP,Bahujan Samaj Party,577,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,anita vidhewan khandagale,IND,Independent,342,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,KIRTI SHESHRAO MESHRAM,IND,Independent,66,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,93,NOTA,,,848,,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,PRADNYA DEEPAK BHUTKAR,SS,Shivsena,8617,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,RASHMI RUPESH MALUSARE,MNS,Maharashtra Navnirman Sena,6942,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,SNEHAL VIVEKANAND JAJU,INC,Indian National Congress,5535,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,SONALI SUNIL TAYSHETE,BJP,Bhartiya Janata Party,5269,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,Mehjabeen Sayeeda Panjoo,NCP,Nationalist Congress Party,573,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,SONAL SUDHAKAR PAWAR,Ambedkarite Party Of India,Ambedkarite Party Of India,225,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,AYESHA RIYAZ SHAIKH,SP,Samajwadi Party,161,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,Manisha Shantaram Girkar,Communist Party Of India,Communist Party Of India,147,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,94,NOTA,,,382,,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,CHANDRASHEKHAR VASUDEO WAINGANKAR,SS,Shivsena,6426,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,SUHAS RAJARAM ADIWAREKAR,BJP,Bhartiya Janata Party,5529,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,PRAVEN AANANT NALAWDE,INC,Indian National Congress,3973,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,BHUPENDRA TARACHAND BADSIWAL,IND,Independent,1210,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,SUMANT VISHNU TARI,MNS,Maharashtra Navnirman Sena,849,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,KIRAN FAKIRBHAI DAMANIA,IND,Independent,594,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,PRAMOD RAMCHANDRA GAIKWAD,NCP,Nationalist Congress Party,413,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,SUMIT ULHAS SALVI,BSP,Bahujan Samaj Party,241,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,JITENDRA DASHARATH SAWANT,IND,Independent,84,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,kajamohiddin abuthahir sayyed,IND,Independent,76,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,KAMAL RAM BANSODE,IND,Independent,38,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,95,NOTA,,,365,,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,MOHAMMEDHALIM MOHAMMEDSHAMIM KHAN,SS,Shivsena,4052,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,MohdShareef HayatUmar Qadri,INC,Indian National Congress,3681,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,SHAHIDHUSSAIN WAHIDHUSSAIN SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,3248,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,mohussain arehman shaikh,IND,Independent,2821,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,SHAKIL SWALEH SHAIKH,SP,Samajwadi Party,2004,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,GULISTAN AHRARAHMED SHAIKH,IND,Independent,803,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,yusuf mohdmustafa sayyed,NCP,Nationalist Congress Party,656,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,Jitesh KisanSingh Rajput,MNS,Maharashtra Navnirman Sena,646,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,LiyakatAli Hasan Shaikh,IND,Independent,628,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,MOHAMMEDAYUB JAHANGIR MOMIN,Janata Dal Secular,Janata Dal Secular,237,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,MEHMOOD AHMED KHANJADA,IND,Independent,80,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,BANNE YAKUB KHAN,IND,Independent,52,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,LIYAKATIALI MODHUSSAIN SHAIKH,IND,Independent,33,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,TABREZ ALIJAAN SHAIKH,IND,Independent,32,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,96,NOTA,,,162,,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,HETAL VIMAL GALA,BJP,Bhartiya Janata Party,9244,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,SUNIL VASANT MORE,SS,Shivsena,4124,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,ARJUN UJALA SINGH,INC,Indian National Congress,3960,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,Asif Amin Tanwar,AIMIM,All India Majlis e Ittehadul Muslimeen,2242,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,MOHAN VITHOBA LOKEGAONKAR,IND,Independent,1928,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,SACHIN RAMCHANDRA MANDLIK,IND,Independent,1208,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,VIJAY SURESH KATE,MNS,Maharashtra Navnirman Sena,830,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,UMER DAWOOD SOLANKI,NCP,Nationalist Congress Party,424,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,BABULAL KADER INAMDAR,IND,Independent,180,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,MOHDZAHEER MOHDANWAR SHAIKH,SP,Samajwadi Party,178,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,ZAFARSHAH MOHAMMADSHAFIQUE RAZAK,BSP,Bahujan Samaj Party,145,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,SUDESH LAXMAN GAMRE,bahujan republican sociolist party,bahujan republican sociolist party,108,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,AJAY LALJI SINGH,IND,Independent,99,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,NIRMALADEVI VINDHYACHAL THATHERA,IND,Independent,93,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,SANJAY EKNATH MANDLE,IND,Independent,47,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,SANTOSH SHANKAR TARI,INC,Indian National Congress,45,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,MOHSIN JAVED KHAN,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,40,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,97,NOTA,,,321,,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,ALKA SUBHASH KERKAR,BJP,Bhartiya Janata Party,12581,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,ARVIND RAMCHANDRA SHISATKAR,SS,Shivsena,4002,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,HARPREETKAUR DEVENDERSINGH CHADHA,INC,Indian National Congress,3617,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,PANKAJ GOVIND YADAV,BSP,Bahujan Samaj Party,738,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,Sanjay Namdeo Kadam,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,384,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,SURAINA NILESH MALHOTRA,NCP,Nationalist Congress Party,329,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,SHYAM PYARELAL JAISWAR,IND,Independent,203,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,Suresh Giga Dabhi,IND,Independent,86,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,RAJESH DHANRAJ PAWAR,bahujan republican sociolist party,bahujan republican sociolist party,63,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,JAGDISH DAGDU DURGE,IND,Independent,51,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,98,NOTA,,,517,,data/maharashtra/mumbai/mumbai_2017.csv
2017,99,SANJAY GULABRAO AGALDARE,SS,Shivsena,9360,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,99,JAYENDRA GAJENDRA BHANJI,BJP,Bhartiya Janata Party,7712,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,99,VENKATESH NAGNATHRAO SAMBUTWAD,INC,Indian National Congress,6476,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,99,RAJENDRA SHYAMRAO KILNAKE,NCP,Nationalist Congress Party,191,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,99,NOTA,,,487,,data/maharashtra/mumbai/mumbai_2017.csv
2017,100,SWAPNA VIRENDRA MHATRE,BJP,Bhartiya Janata Party,9717,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,100,KARENCECILIA ALLEN DMELLO,INC,Indian National Congress,8971,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,100,BRINALE GEORGE FERNANDES,SS,Shivsena,2718,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,100,NOTA,,,637,,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,ASIF AHMED ZAKARIA,INC,Indian National Congress,10587,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,DEREYK MARK TALKER,BJP,Bhartiya Janata Party,6563,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,SUNIL BALKRISHNA JADHAV,SS,Shivsena,3433,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,RAHEBAR SIRAJ KHAN,IND,Independent,844,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,Sitara Dinesh Singh,NCP,Nationalist Congress Party,595,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,Shane Clifford Cardoz,IND,Independent,575,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,Atul Waman Ghone,MNS,Maharashtra Navnirman Sena,344,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,sayali haresh dalvi,IND,Independent,83,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,TABREZ ALIJAAN SHAIKH,IND,Independent,46,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,101,NOTA,,,493,,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,MUMTAZ RAHEBAR KHAN,IND,Independent,6617,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,KAVITA HARVEY RODRICKS,INC,Indian National Congress,6230,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,FAHMIDA CLINT DSILVA,IND,Independent,4304,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,RANJANA PRASHANT RAUT,BJP,Bhartiya Janata Party,3863,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,MANISHA SUBHASH PHONDE,SS,Shivsena,1466,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,Reshma Faiyaz Shaikh,NCP,Nationalist Congress Party,155,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,SEEMIN ASHAD QURESHI,SP,Samajwadi Party,94,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,ANJUM ABBASALI SHAIKH,IND,Independent,49,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,AKBAR KHAN RAISA,IND,Independent,37,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,102,NOTA,,,292,,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,MANOJ KISHORBHAI KOTAK,BJP,Bhartiya Janata Party,14063,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,GOPINATH SHRIKANT SANSARE,SS,Shivsena,6426,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,RAJENDRAPRASAD RAMCHARITRA SINGH,INC,Indian National Congress,3332,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,MANGESH BAPU PAWAR,NCP,Nationalist Congress Party,781,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,NILESH VASANTRAO PATIL,MNS,Maharashtra Navnirman Sena,653,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,Rakesh Kishan Thawani,IND,Independent,552,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,ARUNA RAMANBHAI NARULA,BSP,Bahujan Samaj Party,155,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,keshav madhukar joshi,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,122,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,SUBHASHCHANDRA SHILVANTPRASAD YADAV,SP,Samajwadi Party,122,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,MANOHAR SUNDAR JAGTAP,IND,Independent,113,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,NITIN LALITKUMAR MANIAR,IND,Independent,74,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,Santosh Bandu Shinde,IND,Independent,72,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,SALU YADAV PAWAR,IND,Independent,63,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,KARBHARI VITHOBA KANGANE,IND,Independent,54,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,Rajesh Purushottam Gupta,Lok Janshakti Party,Lok Janshakti Party,39,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,103,NOTA,,,283,,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,PRAKASH KASHINATH GANGADHARE,BJP,Bhartiya Janata Party,12546,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,Uttam Ramnath Gite,INC,Indian National Congress,5550,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,MEENAKSHI SURESH PATIL,NCP,Nationalist Congress Party,5294,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,ROHIDAS NAMDEO DEWADE,SS,Shivsena,3705,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,NAVITA SHIVRAM GUNJAL,MNS,Maharashtra Navnirman Sena,1328,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,Shubhangi Shyam Barve,BSP,Bahujan Samaj Party,777,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,AVINASH SUBRAV THORAT,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,313,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,104,NOTA,,,654,,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,RAJANI NARESH KENI,BJP,Bhartiya Janata Party,9866,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,RASIKA RAM TONDWALKAR,SS,Shivsena,8385,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,Sujata Rajesh Pathak,MNS,Maharashtra Navnirman Sena,3376,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,BHAVESHRI JAYESH VAITY,NCP,Nationalist Congress Party,1814,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,MALTI DIGAMBAR PATIL,INC,Indian National Congress,1482,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,DHANISHTA ARUN KADAM,Akhil Bharatiya Sena,Akhil Bharatiya Sena,213,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,Karuna Sanjay Vaity,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,192,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,ANITA ALANKAR JADHAV,Republican Party of India (A),Republican Party of India (A),131,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,PRAJAKTI VINOD VAITI,Sambhaji Brigade,Sambhaji Brigade,108,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,105,CHANDRALEKHA RAJHANS GAJARE,BSP,Bahujan Samaj Party,98,10,data/maharashtra/mumbai/mumbai_2017.csv
